"uf";"nome_munic";"populacao"
"PI";"Cristalândia do Piauí";8323
"PI";"Cristino Castro";10444
"PI";"Curimatá";11426
"PI";"Currais";4968
"PI";"Curralinhos";4459
"PI";"Curral Novo do Piauí";5367
"PI";"Demerval Lobão";13840
"PI";"Dirceu Arcoverde";7029
"PI";"Dom Expedito Lopes";6922
"PI";"Domingos Mourão";4354
"PI";"Dom Inocêncio";9565
"PI";"Elesbão Veloso";14575
"PI";"Eliseu Martins";4930
"PI";"Esperantina";39848
"PI";"Fartura do Piauí";5319
"PI";"Flores do Piauí";4462
"PI";"Floresta do Piauí";2560
"PI";"Floriano";60025
"PI";"Francinópolis";5347
"PI";"Francisco Ayres";4323
"PI";"Francisco Macedo";3200
"PI";"Francisco Santos";9372
"PI";"Fronteiras";11659
"PI";"Geminiano";5460
"PI";"Gilbués";10694
"PI";"Guadalupe";10497
"PI";"Guaribas";4568
"PI";"Hugo Napoleão";3879
"PI";"Ilha Grande";9457
"PI";"Inhuma";15319
"PI";"Ipiranga do Piauí";9838
"PI";"Isaías Coelho";8566
"PI";"Itainópolis";11551
"PI";"Itaueira";11028
"PI";"Jacobina do Piauí";5729
"PI";"Jaicós";19170
"PI";"Jardim do Mulato";4513
"PI";"Jatobá do Piauí";4875
"PI";"Jerumenha";4447
"PI";"João Costa";3005
"PI";"Joaquim Pires";14376
"PI";"Joca Marques";5466
"PI";"José de Freitas";39336
"PI";"Juazeiro do Piauí";5485
"PI";"Júlio Borges";5640
"PI";"Jurema";4777
"PI";"Lagoinha do Piauí";2858
"PI";"Lagoa Alegre";8577
"PI";"Lagoa do Barro do Piauí";4656
"PI";"Lagoa de São Francisco";6777
"PI";"Lagoa do Piauí";4075
"PI";"Lagoa do Sítio";5198
"PI";"Landri Sales";5283
"PI";"Luís Correia";30438
"PI";"Luzilândia";25504
"PI";"Madeiro";8342
"PI";"Manoel Emídio";5351
"PI";"Marcolândia";8543
"PI";"Marcos Parente";4547
"PI";"Massapê do Piauí";6449
"PI";"Matias Olímpio";10958
"PI";"Miguel Alves";33833
"PI";"Miguel Leão";1242
"PI";"Milton Brandão";6608
"PI";"Monsenhor Gil";10564
"PI";"Monsenhor Hipólito";7767
"PI";"Monte Alegre do Piauí";10615
"PI";"Morro Cabeça no Tempo";4530
"PI";"Morro do Chapéu do Piauí";6811
"PI";"Murici dos Portelas";9209
"PI";"Nazaré do Piauí";7322
"PI";"Nazária";8602
"PI";"Nossa Senhora de Nazaré";4891
"PI";"Nossa Senhora dos Remédios";8723
"PI";"Novo Oriente do Piauí";6556
"PI";"Novo Santo Antônio";3003
"PI";"Oeiras";37085
"PI";"Olho D'Água do Piauí";2468
"PI";"Padre Marcos";6873
"PI";"Paes Landim";4126
"PI";"Pajeú do Piauí";3404
"PI";"Palmeira do Piauí";5036
"PI";"Palmeirais";14587
"PI";"Paquetá";3937
"PI";"Parnaguá";10819
"PI";"Parnaíba";153482
"PI";"Passagem Franca do Piauí";4323
"PI";"Patos do Piauí";6406
"PI";"Pau D'Arco do Piauí";4065
"PI";"Paulistana";20554
"PI";"Pavussu";3669
"PI";"Pedro II";38778
"PI";"Pedro Laurentino";2544
"PI";"Nova Santa Rita";4383
"PI";"Picos";78431
"PI";"Pimenteiras";12139
"PI";"Pio IX";18459
"PI";"Piracuruca";28874
"PI";"Piripiri";63787
"PI";"Porto";12608
"PI";"Porto Alegre do Piauí";2720
"PI";"Prata do Piauí";3150
"PI";"Queimada Nova";9017
"PI";"Redenção do Gurguéia";8796
"PI";"Regeneração";17979
"PI";"Riacho Frio";4309
"PI";"Ribeira do Piauí";4488
"PI";"Ribeiro Gonçalves";7376
"PI";"Rio Grande do Piauí";6433
